drug_id,drug_name,brand_name,drug_category,unit_cost,manufacturer_id,dosage_form,prescription_required,storage_condition,expiry_months,route_of_administration,therapeutic_class,drug_schedule,strength,unit_of_measure,generic_or_brand,controlled_substance,high_alert_medication,drug_status,created_by,updated_by,created_date,updated_date
1,Earum,Arora-Pandya,Antibiotic,252,44,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
2,Minus,"Bhakta, Dass and Chakraborty",Antipyretic,243,240,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
3,Dolore,Kala Inc,Analgesic,13,215,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
4,Neque,"Bhargava, Andra and Nath",Antacid,356,7,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
5,Tempore,Lalla-Char,Antihypertensive,359,113,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
6,Eius,Srinivasan-Gole,Vitamin,233,282,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
7,Incidunt,Subramanian-Srinivasan,Steroid,179,56,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
8,Quis,Tak-Loyal,Antidiabetic,436,288,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
9,Rem,Sen-Gopal,Antihypertensive,21,284,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
10,Nostrum,"Dutt, Doshi and Nagar",Antacid,373,13,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
11,Incidunt,Ramachandran Group,Analgesic,81,116,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
12,Eligendi,Modi Ltd,Antidiabetic,121,108,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
13,Commodi,"Mohan, Handa and Verma",Antibiotic,99,182,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
14,Sapiente,Vyas-Bera,Antibiotic,187,230,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
15,Pariatur,Krishnan-Sarna,Antidiabetic,215,23,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
16,Tempora,Purohit Group,Analgesic,295,207,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
17,Officiis,Anne-Nadig,Steroid,392,34,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
18,Aut,"Kara, Rastogi and Sachdev",Analgesic,124,262,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
19,Officiis,Raval-Mannan,Antipyretic,285,119,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
20,Quia,"Raval, Ratti and Shetty",Analgesic,498,193,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
21,Iusto,"Jhaveri, Shere and Dutta",Vitamin,440,178,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
22,Maxime,Naik-Deshpande,Antidiabetic,81,79,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
23,Voluptas,Mallick-Ratti,Antibiotic,178,163,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
24,Deserunt,Panchal-Prakash,Analgesic,83,52,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
25,Reprehenderit,"Chaudry, Dubey and Chaudhuri",Vitamin,99,142,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
26,Delectus,Sethi-Nadig,Vitamin,193,43,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
27,Suscipit,"Kar, Mani and Dasgupta",Antipyretic,62,155,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
28,Ad,"Parekh, Sane and Dalal",Antidiabetic,445,235,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
29,Harum,Ganesh Group,Analgesic,480,93,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
30,Quibusdam,"Dugar, Hayre and Parsa",Antihypertensive,104,132,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
31,Fugiat,Seth-Khosla,Antipyretic,221,197,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
32,Similique,Nagi-Baral,Analgesic,54,207,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
33,Corporis,Vala-Koshy,Antipyretic,313,12,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
34,Iste,Dass PLC,Antihypertensive,396,21,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
35,Omnis,Balan PLC,Antihypertensive,412,162,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
36,Sed,"Kapoor, Chakrabarti and Sekhon",Steroid,267,220,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
