manufacturer_id,manufacturer_name,country,reliability_rating,contract_status,contact_email,contact_phone,lead_time_days,supplier_tier,manufacturer_code,gmp_certified,iso_certification,website,preferred_supplier,manufacturer_status,created_date,updated_date
1,"Dora, Yogi and Deshpande",USA,3.8,Active,info@dyadhealth.com,9517593845,19,Approved,MFG0001,False,ISO 9001,https://www.dyadhealth.com,False,Active,2023-01-01,2025-01-01
2,Dhawan-Bhasin,UK,4.4,Expired,contact@dbhealth.com,9084689078,11,Preferred,MFG0002,True,ISO 9001,https://www.dbhealth.com,True,Inactive,2023-01-01,2025-01-01
3,"Trivedi, Chaudhry and Parmar",UK,4.3,Active,contact@trivedichaudhrylabs.com,9562456155,10,Preferred,MFG0003,True,ISO 9001,https://www.trivedichaudhrylabs.com,True,Active,2023-01-01,2025-01-01
4,"Chada, Mall and Parmar",Germany,3.9,Expired,sales@chadamalllabs.com,9893891185,16,Approved,MFG0004,False,ISO 9001,https://www.chadamalllabs.com,False,Inactive,2023-01-01,2025-01-01
5,Khanna-Chand,UK,4.5,Expired,contact@kchealth.com,9662784751,5,Preferred,MFG0005,True,ISO 9001,https://www.kchealth.com,True,Inactive,2023-01-01,2025-01-01
6,"Koshy, Dayal and Pillai",India,4.3,Expired,support@koshydayalpharma.com,9546552541,10,Preferred,MFG0006,True,ISO 9001,https://www.koshydayalpharma.com,True,Inactive,2023-01-01,2025-01-01
7,Walia Ltd,USA,4.6,Expired,contact@walialtdpharma.com,9697458709,5,Preferred,MFG0007,True,ISO 9001,https://www.walialtdpharma.com,True,Inactive,2023-01-01,2025-01-01
8,Bera LLC,USA,3.7,Active,sales@berallcpharma.com,9929749329,20,Conditional,MFG0008,False,ISO 9001,https://www.berallcpharma.com,False,Active,2023-01-01,2025-01-01
9,Kapadia-Bose,Switzerland,4.5,Active,info@kbhealth.com,9383561230,7,Preferred,MFG0009,True,ISO 9001,https://www.kbhealth.com,True,Active,2023-01-01,2025-01-01
10,"Mallick, Sami and Handa",UK,4.8,Active,contact@mallicksamipharma.com,9267548800,6,Strategic,MFG0010,True,ISO 9001,https://www.mallicksamipharma.com,True,Active,2023-01-01,2025-01-01
11,Chokshi Group,India,3.7,Active,support@cgpharma.com,9789884987,15,Conditional,MFG0011,False,ISO 9001,https://www.cgpharma.com,False,Active,2023-01-01,2025-01-01
12,"Kanda, Srinivasan and Lanka",USA,4.3,Active,support@ksalhealth.com,9343147958,8,Preferred,MFG0012,True,ISO 9001,https://www.ksalhealth.com,True,Active,2023-01-01,2025-01-01
13,"Gade, Iyer and Gaba",Switzerland,3.5,Active,info@gadeiyerlabs.com,9773405693,20,Conditional,MFG0013,False,ISO 9001,https://www.gadeiyerlabs.com,False,Active,2023-01-01,2025-01-01
14,Minhas Inc,Germany,3.5,Expired,contact@minhasinclabs.com,9545063944,13,Conditional,MFG0014,False,ISO 9001,https://www.minhasinclabs.com,False,Inactive,2023-01-01,2025-01-01
15,Nadig-Dalal,UK,3.6,Expired,sales@ndpharma.com,9496562670,13,Conditional,MFG0015,False,ISO 9001,https://www.ndpharma.com,False,Inactive,2023-01-01,2025-01-01
16,Narayanan and Sons,Switzerland,3.7,Active,support@narayananandpharma.com,9448922883,10,Conditional,MFG0016,False,ISO 9001,https://www.narayananandpharma.com,False,Active,2023-01-01,2025-01-01
17,"Radhakrishnan, Chander and Chacko",India,4.6,Active,info@radhakrishnanchanderlabs.com,9287786595,3,Preferred,MFG0017,True,ISO 9001,https://www.radhakrishnanchanderlabs.com,True,Active,2023-01-01,2025-01-01
18,Dutta-Kalla,UK,4.7,Expired,info@dkpharma.com,9760081159,5,Strategic,MFG0018,True,ISO 9001,https://www.dkpharma.com,True,Inactive,2023-01-01,2025-01-01
